"prompt","completion"
"Fetch onion","{'type':'command','expressions':[['|exists x1 (onion(x1)).| >= 1']],'commands':['robot(x0) & onion(x1) -> fetch(x0, x1).']}"
"Fetch a carrot","{'type':'command','expressions':[['|exists x1 (carrot(x1)).| >= 1']],'commands':['robot(x0) & carrot(x1) -> fetch(x0, x1).']}"
"FETCH A CARROT","{'type':'command','expressions':[['|exists x1 (carrot(x1)).| >= 1']],'commands':['robot(x0) & carrot(x1) -> fetch(x0, x1).']}"
"Fetch 2 avocados","{'type':'command','expressions':[['|exists x1 (avocado(x1)).| >= 2']],'commands':['robot(x0) & avocado(x1) -> fetch(x0, x1).']}"
"Get exactly 2 avocados","{'type':'command','expressions':[['|exists x1 (avocado(x1)).| >= 2']],'commands':['robot(x0) & avocado(x1) -> fetch(x0, x1).']}"
"Fetch at least 2 bananas","{'type':'command','expressions':[['|exists x1 (banana(x1)).| >= 2']],'commands':['robot(x0) & banana(x1) -> fetch(x0, x1).']}"
"Get at least 2 pieces of baking sheet","{'type':'command','expressions':[['|exists x1 (bakingSheet(x1)).| >= 2']],'commands':['robot(x0) & bakingSheet(x1) -> fetch(x0, x1).']}"
"Fetch a few bananas","{'type':'command','expressions':[['|exists x1 (banana(x1)).| >= 3']],'commands':['robot(x0) & banana(x1) -> fetch(x0, x1).']}"
"Get few tomatoes","{'type':'command','expressions':[['|exists x1 (tomato(x1)).| >= 2']],'commands':['robot(x0) & tomato(x1) -> fetch(x0, x1).']}"
"Bring exactly seven bananas","{'type':'command','expressions':[['|exists x1 (banana(x1)).| >= 7']],'commands':['robot(x0) & banana(x1) -> fetch(x0, x1).']}"
"Fetch at least two eggs","{'type':'command','expressions':[['|exists x1 (egg(x1)).| >= 2']],'commands':['robot(x0) & egg(x1) -> fetch(x0, x1).']}"
"Put three cooking knives on the counter","{'type':'command','expressions':[['|exists x1 (cookingKnife(x1)).| >= 3']],'commands':['robot(x0) & cookingKnife(x1) -> fetch(x0, x1).']}"
"Put 12 eggs on the counter","{'type':'command','expressions':[['|exists x1 (egg(x1)).| >= 12']],'commands':['robot(x0) & egg(x1) -> fetch(x0, x1).']}"
"Bring me 19 broccoli stems","{'type':'command','expressions':[['|exists x1 (broccoliStem(x1)).| >= 19']],'commands':['robot(x0) & broccoliStem(x1) -> fetch(x0, x1).']}"
"Go fetch around 20 broccoli stems","{'type':'command','expressions':[['|exists x1 (broccoliStem(x1)).| >= 20']],'commands':['robot(x0) & broccoliStem(x1) -> fetch(x0, x1).']}"
"Please fetch ten tomatoes","{'type':'command','expressions':[['|exists x1 (tomato(x1)).| >= 10']],'commands':['robot(x0) & tomato(x1) -> fetch(x0, x1).']}"
"Bring a cookie on the kitchen counter","{'type':'command','expressions':[['|exists x1 (cookie(x1)).| >= 1']],'commands':['robot(x0) & cookie(x1) -> fetch(x0, x1).']}"
"Hello, fetch some potatoes","{'type':'command','expressions':[['|exists x1 (potato(x1)).| >= 4']],'commands':['robot(x0) & potato(x1) -> fetch(x0, x1).']}"
"Fetch some red chili peppers","{'type':'command','expressions':[['|exists x1 (redChiliPepper(x1)).| >= 4']],'commands':['robot(x0) & redChiliPepper(x1) -> fetch(x0, x1).']}"
"get some baking sheets","{'type':'command','expressions':[['|exists x1 (bakingSheet(x1)).| >= 4']],'commands':['robot(x0) & bakingSheet(x1) -> fetch(x0, x1).']}"
"fetch several potatoes","{'type':'command','expressions':[['|exists x1 (potato(x1)).| >= 5']],'commands':['robot(x0) & potato(x1) -> fetch(x0, x1).']}"
"Bring several avocados","{'type':'command','expressions':[['|exists x1 (avocado(x1)).| >= 5']],'commands':['robot(x0) & avocado(x1) -> fetch(x0, x1).']}"
"Fetch many bananas","{'type':'command','expressions':[['|exists x1 (banana(x1)).| >= 10']],'commands':['robot(x0) & banana(x1) -> fetch(x0, x1).']}"
"Fetch a lot of bananas","{'type':'command','expressions':[['|exists x1 (banana(x1)).| >= 10']],'commands':['robot(x0) & banana(x1) -> fetch(x0, x1).']}"
"Get three carrots","{'type':'command','expressions':[['|exists x1 (carrot(x1)).| >= 3']],'commands':['robot(x0) & carrot(x1) -> fetch(x0, x1).']}"
"Fetch 7 bread slices","{'type':'command','expressions':[['|exists x1 (breadSlice(x1)).| >= 7']],'commands':['robot(x0) & breadSlice(x1) -> fetch(x0, x1).']}"
"Fetch a broccoli stem","{'type':'command','expressions':[['|exists x1 (broccoliStem(x1)).| >= 1']],'commands':['robot(x0) & broccoliStem(x1) -> fetch(x0, x1).']}"
"Get a few red onions","{'type':'command','expressions':[['|exists x1 (redOnion(x1)).| >= 3']],'commands':['robot(x0) & redOnion(x1) -> fetch(x0, x1).']}"
"fetch a few vegetables","{'type':'command','expressions':[['|exists x1 (vegetable(x1)).| >= 3']],'commands':['robot(x0) & vegetable(x1) -> fetch(x0, x1).']}"
"FETCH FEW POTATOES","{'type':'command','expressions':[['|exists x1 (potato(x1)).| >= 2']],'commands':['robot(x0) & potato(x1) -> fetch(x0, x1).']}"
"Get a half a dozen eggs","{'type':'command','expressions':[['|exists x1 (egg(x1)).| >= 6']],'commands':['robot(x0) & egg(x1) -> fetch(x0, x1).']}"
"Get half of the vegetables","{'type':'command','expressions':[['|exists x1 (vegetable(x1)).| / 2']],'commands':['robot(x0) & vegetable(x1) -> fetch(x0, x1).']}"
"Fetch half peeled red onions","{'type':'command','expressions':[['|exists x1 (peeledRedOnion(x1)).| / 2']],'commands':['robot(x0) & peeledRedOnion(x1) -> fetch(x0, x1).']}"
"Could you fetch a dozen eggs please?","{'type':'command','expressions':[['|exists x1 (egg(x1)).| >= 12']],'commands':['robot(x0) & egg(x1) -> fetch(x0, x1).']}"
"Could you fetch 4 bowls?","{'type':'command','expressions':[['|exists x1 (bowl(x1)).| >= 4']],'commands':['robot(x0) & bowl(x1) -> fetch(x0, x1).']}"
"Robot, could you fetch 3 bowls?","{'type':'command','expressions':[['|exists x1 (bowl(x1)).| >= 3']],'commands':['robot(x0) & bowl(x1) -> fetch(x0, x1).']}"
"Fetch Onion1","{'type':'command','expressions':[[]],'commands':['robot(x0) -> fetch(x0, Onion1).']}"
"Robot, fetch Onion1","{'type':'command','expressions':[[]],'commands':['robot(x0) -> fetch(x0, Onion1).']}"
"Fetch red onion Onion1","{'type':'command','expressions':[[]],'commands':['robot(x0) & redOnion(Onion1) -> fetch(x0, Onion1).']}"
"Fetch cooking knife called Knife1","{'type':'command','expressions':[[]],'commands':['robot(x0) & cookingKnife(Knife1) -> fetch(x0, Knife1).']}"
"Fetch large bowl LB1","{'type':'command','expressions':[[]],'commands':['robot(x0) & largeBowl(LB1) -> fetch(x0, LB1).']}"
"Fetch LB1","{'type':'command','expressions':[[]],'commands':['robot(x0) -> fetch(x0, LB1).']}"
"Get Onion2","{'type':'command','expressions':[[]],'commands':['robot(x0) -> fetch(x0, Onion2).']}"
"Get onion redOnion21","{'type':'command','expressions':[[]],'commands':['robot(x0) & onion(RedOnion21) -> fetch(x0, RedOnion21).']}"
"Fetch RedOnion1 and CookingKnife","{'type':'command','expressions':[[],[]],'commands':['robot(x0) -> fetch(x0, RedOnion1).','robot(x0) -> fetch(x0, CookingKnife).']}"
"Fetch bowls LargeBowl1 and LargeBowl2","{'type':'command','expressions':[[],[]],'commands':['robot(x0) & bowl(LargeBowl1) -> fetch(x0, LargeBowl1).','robot(x0) & bowl(LargeBowl2) -> fetch(x0, LargeBowl2).']}"
"Fetch tomato cherryTomato and onion redOnion12","{'type':'command','expressions':[[],[]],'commands':['robot(x0) & tomato(CherryTomato) -> fetch(x0, CherryTomato).','robot(x0) & onion(RedOnion12) -> fetch(x0, RedOnion12).']}"
"Go get LargeBowl1 and LargeBowl2","{'type':'command','expressions':[[],[]],'commands':['robot(x0) -> fetch(x0, LargeBowl1).','robot(x0) -> fetch(x0, LargeBowl2).']}"
"Fetch LargeBowl1 and LargeBowl1","{'type':'command','expressions':[[]],'commands':['robot(x0) -> fetch(x0, LargeBowl1).']}"
"Fetch LargeBowl1, cookingKnife1 and BakingTray","{'type':'command','expressions':[[],[],[]],'commands':['robot(x0) -> fetch(x0, LargeBowl1).','robot(x0) -> fetch(x0, CookingKnife1).', 'robot(x0) -> fetch(x0, BakingTray).']}"
"Fetch a couple of red chili peppers","{'type':'command','expressions':[['|exists x1 (redChiliPepper(x1)).| >= 2']],'commands':['robot(x0) & redChiliPepper(x1) -> fetch(x0, x1).']}"
"Fetch all onions","{'type':'command','expressions':[['|exists x1 (onion(x1)).|']],'commands':['robot(x0) & onion(x1) -> fetch(x0, x1).']}"
"Get all mangoes you can find","{'type':'command','expressions':[['|exists x1 (mango(x1)).|']],'commands':['robot(x0) & mango(x1) -> fetch(x0, x1).']}"
"Fetch every red onion you see","{'type':'command','expressions':[['|exists x1 (redOnion(x1)).|']],'commands':['robot(x0) & redOnion(x1) -> fetch(x0, x1).']}"
"Bring every pepper","{'type':'command','expressions':[['|exists x1 (pepper(x1)).|']],'commands':['robot(x0) & pepper(x1) -> fetch(x0, x1).']}"
"Fetch most carrots","{'type':'command','expressions':[['|exists x1 (carrot(x1)).| / 2 + 1']],'commands':['robot(x0) & carrot(x1) -> fetch(x0, x1).']}"
"Fetch half of the red peppers","{'type':'command','expressions':[['|exists x1 (redPepper(x1)).| / 2']],'commands':['robot(x0) & redPepper(x1) -> fetch(x0, x1).']}"
