"prompt","completion"
"Fetch onion","{'type':'command','expressions':[['|exists x1 (onion(x1)).| >= 1']],'commands':['abe(x0) & onion(x1) -> fetch(x0, x1).']}"
"Fetch a carrot","{'type':'command','expressions':[['|exists x1 (carrot(x1)).| >= 1']],'commands':['abe(x0) & carrot(x1) -> fetch(x0, x1).']}"
"Fetch 2 avocados","{'type':'command','expressions':[['|exists x1 (avocado(x1)).| >= 2']],'commands':['abe(x0) & avocado(x1) -> fetch(x0, x1).']}"
"Please fetch ten tomatoes","{'type':'command','expressions':[['|exists x1 (tomato(x1)).| >= 10']],'commands':['abe(x0) & tomato(x1) -> fetch(x0, x1).']}"
"Bring a cookie on the kitchen counter","{'type':'command','expressions':[['|exists x1 (cookie(x1)).| >= 1']],'commands':['abe(x0) & cookie(x1) -> fetch(x0, x1).']}"
"Hello, fetch some potatoes","{'type':'command','expressions':[['|exists x1 (potato(x1)).| >= 4']],'commands':['abe(x0) & potato(x1) -> fetch(x0, x1).']}"
"Fetch many bananas","{'type':'command','expressions':[['|exists x1 (banana(x1)).| >= 10']],'commands':['abe(x0) & banana(x1) -> fetch(x0, x1).']}"
"Get three carrots","{'type':'command','expressions':[['|exists x1 (carrot(x1)).| >= 3']],'commands':['abe(x0) & carrot(x1) -> fetch(x0, x1).']}"
"Fetch 7 bread slices","{'type':'command','expressions':[['|exists x1 (breadSlice(x1)).| >= 7']],'commands':['abe(x0) & breadSlice(x1) -> fetch(x0, x1).']}"
"Fetch a broccoli stem","{'type':'command','expressions':[['|exists x1 (broccoliStem(x1)).| >= 1']],'commands':['abe(x0) & broccoliStem(x1) -> fetch(x0, x1).']}"
"Get a few red onions","{'type':'command','expressions':[['|exists x1 (redOnion(x1)).| >= 3']],'commands':['abe(x0) & redOnion(x1) -> fetch(x0, x1).']}"
"Get a half a dozen eggs","{'type':'command','expressions':[['|exists x1 (egg(x1)).| >= 6']],'commands':['abe(x0) & egg(x1) -> fetch(x0, x1).']}"
"Could you fetch a dozen eggs please?","{'type':'command','expressions':[['|exists x1 (egg(x1)).| >= 12']],'commands':['abe(x0) & egg(x1) -> fetch(x0, x1).']}"
"Fetch Onion1","{'type':'command','expressions':[[]],'commands':['abe(x0) -> fetch(x0, Onion1).']}"
"Fetch a couple of red chilli peppers","{'type':'command','expressions':[['|exists x1 (redChilliPepper(x1)).| >= 2']],'commands':['abe(x0) & redChilliPepper(x1) -> fetch(x0, x1).']}"
"Fetch all onions","{'type':'command','expressions':[['|exists x1 (onion(x1)).|']],'commands':['abe(x0) & onion(x1) -> fetch(x0, x1).']}"
"Fetch every red onion you see","{'type':'command','expressions':[['|exists x1 (redOnion(x1)).|']],'commands':['abe(x0) & onion(x1) -> fetch(x0, x1).']}"
"Bake the baking tray","{'type':'command','expressions':[['|exists x1 (bakingTray(x1)).| >= 1']],'commands':['abe(x0) & bakingTray(x1) & oven(x2) & kitchenCounter(x3) -> bake(x0, x1, x2, x3).']}"
"Please bake a baking tray in an oven","{'type':'command','expressions':[['|exists x1 (bakingTray(x1)).| >= 1','|exists x2 (oven(x2)).| >= 1']],'commands':['abe(x0) & bakingTray(x1) & oven(x2) & kitchenCounter(x3) -> bake(x0, x1, x2, x3).']}"
